manual_keys,index_column,en,cs,fr,de_en,de_cz,es,generated_keys,best_match_performed,best_match_found,en_copy,best_match_matchedTranslation,best_match_rating,best_match_keys,best_match_bestMatchIndex,best_match_in_not_found
,1,Welcome to TopLeader,Vítejte v TopLeader,Bienvenu chez Topleader,Willkommen bei TopLeader,Willkommen bei Topleader,Bienvenido a TopLeader,auth.unauthorized.title,,,Welcome to TopLeader,,,,,
,2,Please enter your details,Zadejte své údaje,Veuillez saisir vos identifiants,Bitte geben Sie Ihre Daten ein,Geben Sie Ihre Informationen ein,Por favor ingrese sus datos,auth.unauthorized.perex,,,Please enter your details,,,,,
,3,Password,Heslo,Mot de passe,Passwort,Passwort,Clave,auth.login.password.label|settings.general.password,,,Password,,,,,
,4,Forgot password,Zapomenuté heslo,Mot de passe oublié,Passwort vergessen,Passwort vergessen,Se te olvidó tu contraseña,auth.login.forgot,,,Forgot password,,,,,
auth.login.login,5,Log in,Přihlásit se,Connexion,Einloggen,Anmeldung,Iniciar sesión,,Performed,Found,Log in,Log In,0.5,auth.login.login,15,auth.login.login
,6,Sign in with Google,Přihlaste se s Googlem,Connectez-vous avec Google,Anmeldung mit Google,Melden Sie sich bei Google an,Inicia sesión con Google,auth.login.google,,,Sign in with Google,,,,,
,7,Sign in with Microsoft,Přihlaste se s Microsoft,Connectez-vous avec Microsoft,Melden Sie sich bei Microsoft an,Melden Sie sich bei Microsoft an,Inicie sesión con Microsoft,auth.login.microsoft,,,Sign in with Microsoft,,,,,
,8,Dashboard,Přehled,Tableau de bord,Armaturenbrett,Überblick,Tablero,main-menu.items.dashboard,,,Dashboard,,,,,
,9,Sessions,Osobní rozvoj,Sessions,Sitzungen,Persönliche Entwicklung,Sesiones,main-menu.items.sessions|sessions.heading,,,Sessions,,,,,
,10,Coaches,Koučové,Formateurs,Trainer,Coach,Entrenadores,coaches.heading|main-menu.items.coaches,,,Coaches,,,,,
dashboard.cards.feedback.title,11,Get Feedback,Získat zpětnou vazbu,Obtenir un retour,Rückmeldung bekommen,Rückmeldung bekommen,Recibir comentarios,,Performed,Found,Get Feedback,Get feedback,0.8,"dashboard.cards.feedback.title,main-menu.items.getFeedback",42,dashboard.cards.feedback.title|main-menu.items.getFeedback
,12,Settings,Nastavení,Paramètres,Einstellungen,Einstellungen,Ajustes,main-menu.items.settings|settings.heading,,,Settings,,,,,
,13,Help,Pomoc,Aide,Hilfe,Hilfe,Ayudar,main-menu.items.help,,,Help,,,,,
main-menu.items.logout,14,Log out,Odhlásit se,Se déconnecter,Ausloggen,Ausloggen,Cerrar sesión,,Performed,Found,Log out,Logout,1,main-menu.items.logout,130,main-menu.items.logout
